STATE,FSCS ID,LIBRARY ID,LIBRARY NAME,ADDRESS,CITY,ZIP,LOCALE,REAP LOCALE,SERVICE AREA POPULATION,UNDUPLICATED POPULATION,CENTRAL LIBRARIES,BRANCH LIBRARIES,BOOKMOBILES,MLS LIBRARIAN STAFF,LIBRARIAN STAFF,OTHER STAFF,TOTAL STAFF,LOCAL REVENUE,STATE REVENUE,FEDERAL REVENUE,OTHER REVENUE,TOTAL REVENUE,SALARIES,BENEFITS,TOTAL STAFF EXPENDITURES,PRINT EXPENDITURES,ELECTRONIC EXPENDITURES,OTHER COLLECTION EXPENDITURES,TOTAL COLLECTION EXPENDITURES,OTHER EXPENDITURES,TOTAL EXPENDITURES,LOCAL CAPITAL REVENUE,STATE CAPITAL REVENUE,FEDERAL CAPITAL REVENUE,OTHER CAPITAL REVENUE,TOTAL CAPITAL REVENUE,CAPITAL EXPENDITURES,PRINT MATERIALS,EBOOKS,AUDIO MATERIALS,AUDIO DOWNLOADS,VIDEO MATERIALS,VIDEO DOWNLOADS,LOCAL DATABASES,STATE DATABASES,TOTAL DATABASES,PRINT SERIALS,HOURS,VISITS,REFERENCES,USERS,TOTAL CIRCULATION,KIDS CIRCULATION,ELECTRONIC CIRCULATION,PHYSICAL ITEM CIRCULATION,ELECTRONIC INFO RETRIEVALS,ELECTRONIC CONTENT USES,TOTAL CIRCULATION & RETRIEVALS,LOANS TO,LOANS FROM,TOTAL PROGRAMS,KIDS PROGRAMS,YA PROGRAMS,PROGRAM AUDIENCE,KIDS PROGRAM AUDIENCE,YA PROGRAM AUDIENCE,COMPUTERS,COMPUTER USES,WIFI SESSIONS,YEAR,START DATE,END DATE,REPORTING STATUS,BEA REGION,STRUCTURE CHANGE,NAME CHANGE,ADDRESS CHANGE,INTERLIBRARY RELATIONSHIP,MAILING ADDRESS,MAILING CITY,MAILING ZIP,PHONE,COUNTY,COUNTY POPULATION,LEGAL BASIS,ADMINISTRATIVE STRUCTURE,FSCS DEFINITION,LSABOUND,INCITS STATE CODE,INCITS COUNTY CODE,GNIS ID,CENSUS TRACT,CENSUS BLOCK,CONGRESSIONAL DISTRICT,CBSA,METRO/MICRO AREA,ADDRESS MATCH TYPE,ESRI MATCH STATUS,GEOGRAPHIC CODE,GEOCODE SCORE,LONGITUDE
OH,OH0049,149C,"CINCINNATI AND HAMILTON COUNTY, PL OF",800 VINE ST.,CINCINNATI,45202,11,1,"802,374","802,374",1,40,0,188.5,188.5,456.6,645.1,"16,300,929","38,149,422",0,"4,612,589","59,062,940","26,386,773","8,255,077","34,641,850","3,397,942","3,994,426","1,720,105","9,112,473","11,416,455","55,170,778.00",0,0,0,0,0,"628,953.00","4,936,677","5,889,477","362,864","383,338","532,412","41,477",116,73,189,"6,584","106,794","6,176,664","1,765,608","531,528","21,226,498","5,380,880","3,504,928","17,721,570","3,843,790","7,348,718","25,070,288","80,607","79,896","17,468","11,291","1,883","417,016","308,778","26,585",856,"1,530,275","599,805",2017,01/01/2016,12/31/2016,1,3,0,0,0,NO,800 VINE ST.,CINCINNATI,45202,5133696900,HAMILTON,"809,099",CO,MO,Y,N,39,61,15000,7,3021,3901,17140,0,PointAddress,E,CO1,100,"(39.105228, -84.513948)"
OH,OH0057,157C,COLUMBUS METROPOLITAN LIBRARY,96 S. GRANT AVENUE,COLUMBUS,43215,11,1,"850,548","850,548",1,23,2,115,115,573,688,"46,034,928","21,011,765",0,"7,273,437","74,320,130","29,231,892","7,676,496","36,908,388","4,375,177","2,067,529","1,332,680","7,775,386","16,209,221","60,892,995.00",0,0,0,"11,442,997.00","11,442,997.00","51,139,613.00","1,322,171","181,830","93,276","379,863","60,617","29,830",65,73,138,"3,241","76,874","5,317,000","1,486,992","627,380","16,094,874","6,401,556","1,628,990","14,465,884","2,430,127","4,059,117","18,525,001","436,127","1,058,220","7,960","5,814","1,674","200,785","168,662","20,451","1,141","1,521,379","285,616",2017,01/01/2016,12/31/2016,1,3,0,0,0,NO,96 S. GRANT AVENUE,COLUMBUS,43215,6148491265,FRANKLIN,"1,264,518",CO,MA,Y,N,39,49,18000,40,2020,3903,18140,0,PointAddress,E,CO1,100,"(39.960837, -82.990546)"
TX,TX0003,100,DALLAS PUBLIC LIBRARY,1515 YOUNG ST,DALLAS,75201,11,1,"1,300,092","1,297,110",1,28,2,102.52,103.52,264.44,367.96,"29,190,938",0,0,"407,607","29,598,545","14,041,837","4,336,533","18,378,370","1,564,547","917,797","2,120,806","4,603,150","6,553,474","29,534,994.00",0,0,0,0,0,0,"4,563,199","68,076","167,061","298,320","357,311","34,354",46,61,107,978,"68,500","3,327,733",0,"692,373","10,821,568","2,804,444","2,966,622","7,854,946",-1,"2,966,622","10,821,568","8,364",739,"14,901","8,015",552,"388,195","273,961","10,273",611,"640,690",-1,2017,10/01/2015,09/30/2016,2,6,0,0,0,ME,1515 YOUNG ST,DALLAS,75201,2146701400,DALLAS,"2,574,984",CI,MO,Y,N,48,113,19000,31.01,1043,4830,19100,0,PointAddress,E,CI1,100,"(32.777898, -96.796938)"
TX,TX0526,551,COCKRELL HILL PUBLIC LIBRARY,4125 W CLARENDON DR,DALLAS,75211,21,3,"4,316","4,306",1,0,0,0.9,0.9,0,0.9,"47,800",0,0,"2,500","50,300",-9,-9,-9,"4,066",0,0,"4,066",-9,"50,300.00",0,0,0,0,0,0,"8,243",0,0,0,0,0,0,61,61,9,"1,872","6,592",468,578,"2,112","1,900",0,"2,112",-1,0,"2,112",0,1,42,38,2,347,320,7,12,"3,451",100,2017,10/01/2015,09/30/2016,1,6,0,0,0,ME,4125 W CLARENDON DR,COCKRELL HILL-DALLAS,75211,2143309935,DALLAS,"2,574,984",CI,SO,Y,N,48,113,15796,199,4024,4833,19100,0,PointAddress,E,CI1,100,"(32.735028, -96.888252)"
TX,TX0689,606,UNIVERSITY PARK PUBLIC LIBRARY,"8383 PLAZA AT PRESTON CENTER, SUITE",DALLAS,75225,11,1,"24,759","24,702",1,0,0,3,3,3,6,"487,199",0,0,"300,000","787,199","340,725","89,859","430,584","49,425","32,312","7,113","88,850","267,765","787,199.00",0,0,0,0,0,0,"49,386","22,480",514,"6,358","2,412",0,6,61,67,74,"2,288","42,869","2,910","6,346","99,615","69,546","13,127","86,488",-1,"13,127","99,615",79,10,161,143,0,"6,354","6,049",0,16,"4,705","2,516",2017,10/01/2015,09/30/2016,1,6,0,0,0,ME,3800 UNIVERSITY BLVD,UNIVERSITYPARK-DALLA,75205,2143639095,DALLAS,"2,574,984",CI,SO,Y,N,48,113,19000,77,2003,4832,19100,0,Postal,E,CI1,100,"(32.865704, -96.804)"
CO,CO0034,FSCS0034,DENVER PUBLIC LIBRARY,10 W 14TH AVENUE PARKWAY,DENVER,80204,11,1,"683,096","675,440",1,25,2,168.23,168.23,477.8,646.03,"43,323,893","155,698",0,"2,414,153","45,893,744","25,901,697","9,015,456","34,917,153","2,295,157","1,504,202","1,623,018","5,422,377","5,157,251","45,496,781.00","1,647,399.00",0,0,0,"1,647,399.00","1,647,399.00","1,415,905","67,723","114,128","34,515","191,687","1,050",81,0,81,"3,354","66,064","4,259,373","495,391","473,293","9,323,082","1,797,766","1,079,491","8,243,591","941,648","2,021,139","10,264,730","50,089","65,718","23,219","16,051","1,241","431,776","341,467","14,003",956,"799,455",-1,2017,01/01/2016,12/31/2016,1,7,0,0,0,ME,10 W 14TH AVENUE PARKWAY,DENVER,80204,7208651111,DENVER,"693,060",CI,MO,Y,N,8,31,20000,20,1036,801,19740,0,PointAddress,E,CI1,100,"(39.738365, -104.987879)"
MI,MI0083,MI0083-002,DETROIT PUBLIC LIBRARY,5201 WOODWARD AVENUE,DETROIT,48202,11,1,"713,777","712,793",1,20,1,78,78,210,288,"31,453,004","4,325,391",0,"799,569","36,577,964","11,993,148","6,786,795","18,779,943","499,000","222,102","686,255","1,407,357","9,118,246","29,305,546.00",0,0,0,0,0,0,"4,083,856","6,517","129,057","5,639","174,763","2,678",31,0,31,"1,400","38,400","2,212,482","653,961","365,888","1,102,902","343,442","29,531","1,073,371",0,"29,531","1,102,902","1,400",120,"13,259","5,210","1,288","170,515","88,761","18,469",716,"531,733","101,082",2017,07/01/2015,06/30/2016,1,3,0,0,0,ME,5201 WOODWARD AVENUE,DETROIT,48202,3134811302,WAYNE,"1,749,366",CI,MO,Y,N,26,163,22000,5202,2008,2613,19820,0,PointAddress,E,CI1,100,"(42.358871, -83.065679)"
NC,NC0030,C-DURHAM,DURHAM COUNTY LIBRARY,300 N ROXBORO ST,DURHAM,27701,11,2,"297,219","296,822",1,6,0,50.77,50.77,78.03,128.8,"11,122,872","234,962","80,557","14,783","11,453,174","5,688,675","1,882,094","7,570,769","997,810","386,760","233,447","1,618,017","1,382,673","10,571,459.00","255,292.00",0,0,0,"255,292.00","513,064.00","574,034","38,955","47,072","5,188","49,404",0,13,74,87,490,"19,018","1,106,403","178,152","216,429","2,881,590","1,358,304","197,387","2,684,203","221,288","418,675","3,102,878","1,141","2,524","6,386","3,216","1,288","120,036","92,499","10,946",236,"320,315",-1,2017,07/01/2015,06/30/2016,1,5,0,0,0,NO,PO BOX 3809,DURHAM,27702,9195600164,DURHAM,"306,212",CO,MO,Y,N,37,63,19000,22,1069,3701,20500,0,StreetAddress,E,CO2,100,"(35.994952, -78.897322)"
IN,IN0073,3021,ALLEN COUNTY PUBLIC LIBRARY,900 LIBRARY PLAZA,FORT WAYNE,46801,11,1,"355,329","349,161",1,13,0,71.25,93.65,202.3,295.95,"22,890,586","1,698,824",0,"2,480,408","27,069,818","11,583,481","5,415,640","16,999,121","2,761,154","567,983","344,467","3,673,604","5,204,192","25,876,917.00",0,0,0,0,0,0,"3,048,427","220,412","135,970","14,920","163,633","11,569",822,75,897,"5,566","41,028","2,512,375","383,316","304,839","13,311,490","1,397,063","8,640,543","4,670,947","4,681","8,645,224","13,316,171","9,313","1,797","6,244","4,566",998,"181,456","138,010","23,727",507,"470,269","1,642,006",2017,01/01/2016,12/31/2016,1,3,0,0,0,ME,PO BOX 2270,FORT WAYNE,46801,2604211200,ALLEN,"370,404",LD,MO,Y,N,18,3,25000,12,1032,1803,23060,0,StreetAddress,E,CO1,92.08,"(41.077736, -85.142559)"
TX,TX0050,143,FORT WORTH LIBRARY,500 W 3RD ST,FORT WORTH,76102,11,1,"833,319","831,408",1,15,0,48,48,154.6,202.6,"20,170,707",0,0,"71,870","20,242,577","9,224,397","4,112,536","13,336,933","1,175,158","888,175","865,161","2,928,494","4,419,228","20,684,655.00","654,900.00",0,0,0,"654,900.00","654,900.00","801,740","38,068","83,795","16,033","147,104","2,166",21,61,82,"1,798","33,146","1,637,911","1,022,684","503,884","3,872,685","1,549,842","465,416","3,407,269",-1,"465,416","3,872,685","106,592","123,568","4,923","3,459",279,"86,611","65,580","1,804",487,"257,351",0,2017,10/01/2015,09/30/2016,1,6,0,0,0,ME,500 W 3RD ST,FORT WORTH,76102,8173927323,TARRANT,"2,016,872",CI,MO,Y,N,48,439,27000,1233,2106,4812,19100,0,PointAddress,E,CI1,100,"(32.753605, -97.334775)"
CA,CA0001,M597,ALAMEDA COUNTY LIBRARY,2450 STEVENSON BLVD.,FREMONT,94538,21,3,"573,072","573,072",1,9,1,40,46,157,203,"23,880,023","164,404","6,853","4,889,728","28,941,008","10,805,079","5,961,440","16,766,519","2,597,351","863,674","545,671","4,006,696","8,787,075","29,560,290.00",0,0,0,0,0,"400,157.00","919,123","126,410","51,518","16,717","110,283",0,68,0,68,"1,462","18,384","2,500,281","315,044","386,891","6,148,553","3,555,243","343,937","5,804,616","242,301","586,238","6,390,854","23,150","27,558","8,975","4,913","2,066","200,999","154,746","16,521",353,"299,457",-1,2017,07/01/2015,06/30/2016,1,8,0,0,0,ME,2450 STEVENSON BLVD.,FREMONT,94538,5107451504,ALAMEDA,"1,647,704",CO,MO,Y,N,6,1,26000,4419.25,2048,617,41860,0,StreetAddress,E,CO2,100,"(37.551765, -121.971834)"
AZ,AZ0033,AE-GLENDALE,GLENDALE PUBLIC LIBRARY,5959 WEST BROWN STREET,GLENDALE,85302,21,3,"237,723","150,683",1,2,0,18.95,18.95,35.85,54.8,"4,409,811","11,527","133,478","1,479","4,556,295","2,465,573","816,818","3,282,391","417,284","126,358","235,501","779,143","684,732","4,746,266.00",0,0,0,0,0,0,"366,159","370,913","26,596","387,409","37,685","18,356",9,33,42,539,"5,758","595,780","119,046","134,141","1,595,137","695,794","159,776","1,435,361","592,405","752,181","2,187,542","3,380","1,183","1,701",827,193,"55,472","36,793","4,615",167,"126,113",-1,2017,07/01/2015,06/30/2016,1,6,0,14,15,NO,5959 WEST BROWN STREET,GLENDALE,85302,6239303546,MARICOPA,"4,242,997",CI,MO,Y,N,4,13,27820,923.05,1021,408,38060,0,StreetAddress,E,CI1,100,"(33.578233, -112.187299)"
NC,NC0035,C-GUILFORD,GREENSBORO PUBLIC LIBRARY,219 N CHURCH ST,GREENSBORO,27401,11,1,"407,375","406,830",1,7,0,27,27,69,96,"8,133,420","383,054",0,"206,425","8,722,899","4,054,304","1,455,096","5,509,400","519,496","266,302","245,509","1,031,307","1,511,513","8,052,220.00",0,0,0,0,0,0,"524,818","98,761","21,271","25,186","55,550",537,14,74,88,687,"28,517","2,761,627","339,183","264,670","1,751,226","722,573","299,251","1,455,944","365,169","664,420","2,120,364",692,463,"4,210","2,343",432,"92,116","74,109","5,121",293,"395,623",-1,2017,07/01/2015,06/30/2016,1,5,0,0,0,NO,PO BOX 3178,GREENSBORO,27402,3363732716,GUILFORD,"521,330",CI,MO,Y,N,37,81,28000,108,2020,3713,24660,0,StreetAddress,E,CO2,100,"(36.074139, -79.786714)"
NV,NV0012,NV0012,HENDERSON DISTRICT PUBLIC LIBRARIES,280 S. GREEN VALLEY PKWY.,HENDERSON,89012,11,1,"287,828","287,828",1,3,0,28,28,46.5,74.5,"4,876,936","2,197,314","37,300","453,149","7,564,699","3,599,075","1,384,304","4,983,379","516,644","243,557","111,003","871,204","1,417,415","7,271,998.00",0,0,0,0,0,"184,700.00","332,594","13,852","18,164","35,220","32,649","10,771",30,47,77,164,"7,704","589,632","166,585","91,018","1,677,834","745,414","215,987","1,461,847","232,321","448,308","1,910,155",567,830,"1,995",896,150,"41,339","28,308","1,378",139,"169,075","75,273",2017,07/01/2015,06/30/2016,1,8,0,0,0,NO,280 S. GREEN VALLEY PKWY,HENDERSON,89012,7024927252,CLARK,"2,155,664",LD,MO,Y,N,32,3,31900,53.37,1000,3203,29820,0,StreetAddress,E,OTH,100,"(36.018433, -115.082894)"
HI,HI0001,FSCS0001,HAWAII STATE PUBLIC LIBRARY SYSTEM,44 MERCHANT STREET,HONOLULU,96813,11,1,"1,431,603","1,431,603",1,49,2,154,156,393.5,549.5,0,"32,432,253","1,151,422","2,108,558","35,692,233","24,028,303","227,578","24,255,881","2,655,609","1,079,092","94,230","3,828,931","6,763,134","34,847,946.00",0,"11,050,000.00",0,0,"11,050,000.00","1,902,333.00","2,967,198","58,452","209,527","22,101","168,400",0,0,107,107,"2,726","95,597","4,490,320","552,158","997,885","6,281,855","2,568,785","574,281","5,707,574","5,756,218","6,330,499","12,038,073",262,47,"10,772","8,053","1,345","286,319","212,831","40,034",562,"845,485","555,812",2017,07/01/2015,06/30/2016,1,8,0,0,0,ME,44 MERCHANT STREET,HONOLULU,96813,8085863704,HONOLULU,"992,605",OT,MA,Y,N,15,3,71550,40,2004,1501,46520,0,StreetAddress,E,OTH,100,"(21.309821, -157.863366)"
TX,TX0099,189,HOUSTON PUBLIC LIBRARY,500 MCKINNEY ST,HOUSTON,77002,11,1,"2,296,224","2,290,957",1,40,0,107,159,315.5,474.5,"39,695,160",0,"97,103","1,646,172","41,438,435","19,218,427","9,836,443","29,054,870","3,115,706","2,014,384","538,623","5,668,713","4,971,577","39,695,160.00",0,0,0,0,0,0,"2,597,505","217,319","153,707","335,014","116,102","14,000",131,61,192,"7,990","77,184","3,766,937","731,198","962,493","4,214,217","1,915,963","737,842","3,476,375",-1,"737,842","4,214,217","1,598","12,004","21,995","10,124","3,176","380,062","227,332","63,707","2,687","999,084","6,289,742",2017,07/01/2015,06/30/2016,1,6,0,0,0,ME,500 MCKINNEY ST,HOUSTON,77002,8323931313,HARRIS,"4,589,928",CI,MO,Y,N,48,201,35000,1000,3096,4818,26420,0,PointAddress,E,CI1,100,"(29.759806, -95.369677)"
TX,TX0101,190,HARRIS COUNTY PUBLIC LIBRARY,5749 S LOOP EAST,HOUSTON,77033,11,1,"1,998,378","1,993,794",0,28,0,114.7,114.7,230.6,345.3,"26,331,191",0,0,"241,869","26,573,060","12,435,380","6,259,791","18,695,171","1,826,125","826,564","245,856","2,898,545","4,269,771","25,863,487.00",0,0,0,0,0,0,"1,829,945","168,481","81,155","315,222","99,190","11,238",17,61,78,"1,862","64,655","4,335,083","1,024,417","1,182,689","8,878,982","1,259,972","1,071,368","7,807,614",-1,"1,071,368","8,878,982","5,449","13,718","23,291","8,233","1,732","430,992","216,138","24,451","1,845","1,139,820","387,776",2017,03/01/2015,02/29/2016,1,6,0,0,7,ME,5749 S LOOP EAST,HOUSTON-HCPL,77033,7132746600,HARRIS,"4,589,928",CO,MA,Y,N,48,201,35000,3134,2012,4818,26420,0,StreetAddress,E,CO2,100,"(29.687871, -95.335279)"
IN,IN0210,8492,INDIANAPOLIS-MARION COUNTY PUBLIC LIBRARY,2450 NORTH MERIDIAN STREET,INDIANAPOLIS,46208,11,1,"877,389","862,160",1,23,7,134.25,134.25,297.73,431.98,"33,984,896","3,013,764","645,817","2,981,466","40,625,943","16,386,487","6,551,168","22,937,655","2,685,607","3,006,029","1,115,164","6,806,800","11,063,816","40,808,271.00","11,697,781.00","891,320.00",0,"10,676,865.00","23,265,966.00","18,313,058.00","1,351,617","183,155","144,705","55,872","143,405","2,125",74,75,149,"3,262","75,750","3,833,152","269,433","467,887","14,635,388","4,819,890","1,373,371","13,262,017","984,347","2,357,718","15,619,735","5,887","2,677","12,008","7,497",256,"577,244","444,496","4,952",647,"862,690","2,998,175",2017,01/01/2016,12/31/2016,1,3,0,0,0,ME,2450 NORTH MERIDIAN STREET,INDIANAPOLIS,46206,3172754100,MARION,"941,229",LD,MA,Y,N,18,97,36003,3516,2003,1807,26900,0,StreetAddress,E,OTH,92.08,"(39.801629, -86.156801)"
FL,FL0003,FSCS5002,JACKSONVILLE PUBLIC LIBRARY,303 LAURA STREET NORTH,JACKSONVILLE,32202,11,1,"905,574","901,076",1,20,0,97,97,300.03,397.03,"31,928,302","1,024,351",0,"581,877","33,534,530","12,419,621","5,338,138","17,757,759","2,461,255","1,215,312","462,779","4,139,346","11,294,952","33,192,057.00","721,449.00",0,0,0,"721,449.00",0,"1,864,057","202,442","154,722","335,211","151,471","13,314",76,68,144,"2,826","49,712","3,435,046","706,134","754,662","5,734,938","1,886,470","295,984",-1,-1,-1,"295,984","8,198","2,034","13,669","6,201","1,075","239,015","184,113","11,066","1,036","720,841",-1,2017,10/01/2015,09/30/2016,1,5,0,0,0,ME,303 LAURA STREET NORTH,JACKSONVILLE,32202,9046302665,DUVAL,"926,255",MJ,MO,Y,N,12,31,35000,172,1116,1205,27260,0,StreetAddress,E,MC1,92.43,"(30.328932, -81.658778)"
NJ,NJ0149,JERSEY CITY,JERSEY CITY FREE PUBLIC LIBRARY,472 JERSEY AVENUE,JERSEY CITY,7302,11,2,"247,597","229,347",1,9,1,19.25,19.25,66.5,85.75,"8,800,000","107,724",0,"130,717","9,038,441","5,177,056","2,370,830","7,547,886","513,413","41,754","45,818","600,985","1,727,841","9,876,712.00",0,0,0,0,0,0,"526,608","155,532","11,067","319,736","25,672","12,672",6,22,28,"11,686","25,175","299,844","22,000","211,855","365,858","262,991","19,812","346,046","2,718","22,530","368,576",92,104,"2,562","1,394",437,"43,238","27,686","2,963",185,"125,785","21,580",2017,01/01/2016,12/31/2016,1,2,0,0,0,ME,472 JERSEY AVENUE,JERSEY CITY,7302,2015474788,HUDSON,"677,983",CI,MO,Y,N,34,17,36000,64,1003,3408,35620,0,PointAddress,E,CI1,100,"(40.718975, -74.047543)"
KS,KS0133,KS0161,"KANSAS CITY, KANSAS PUBLIC LIBRARY",625 MINNESOTA AVENUE,KANSAS CITY,66101,12,2,"155,763","155,763",0,5,3,25,25,102.48,127.48,"7,522,689","48,355",0,"2,351,071","9,922,115","5,185,123","1,226,691","6,411,814","575,841","315,000","232,840","1,123,681","3,675,542","11,211,037.00",0,0,0,0,0,0,"334,905","163,925","40,282","39,992","68,986","4,691",80,64,144,400,"17,472","675,460","104,000","89,362","849,576","295,653","10,923","838,653","177,099","188,022","1,026,675","4,587","4,252","3,624","1,657",423,"47,344","27,369","4,684",187,"147,817",-1,2017,01/01/2016,12/31/2016,1,4,0,0,0,ME,625 MINNESOTA AVENUE,KANSAS CITY,66101,9135513280,WYANDOTTE,"163,831",CI,MO,Y,N,20,209,36000,418,1019,2003,28140,0,PointAddress,E,CI1,100,"(39.115503, -94.625151)"
MO,MO0014,MO0014,KANSAS CITY PUBLIC LIBRARY,913 BALTIMORE AVE,KANSAS CITY,64105,11,1,"218,765","218,765",1,9,0,35.9,54.9,125.66,180.56,"16,247,980","78,914","777,534","2,304,838","19,409,266","8,849,830","2,311,257","11,161,087","1,128,006","705,157","254,757","2,087,920","7,236,947","20,485,954.00",0,0,0,0,0,0,"610,820","148,991","53,755","44,566","62,120","12,033",99,12,111,"1,071","29,416","2,068,333","316,148","265,349","2,146,034","582,214","618,381","1,527,653","63,277","681,658","2,209,311","8,421","2,757","5,053","2,215","1,152","167,696","75,441","26,535",360,"776,146","153,714",2017,07/01/2015,06/30/2016,1,4,0,0,0,ME,14 W 10TH ST,KANSAS CITY,64105,8167013400,JACKSON,"691,801",LD,MA,Y,N,29,95,38000,157,2027,2905,28140,0,PointAddress,E,MA2,100,"(39.103109, -94.584127)"
NV,NV0008,NV0008,LAS VEGAS-CLARK COUNTY LIBRARY DISTRICT,7060 W WINDMILL LN,LAS VEGAS,89113,21,3,"1,579,317","1,579,317",0,25,0,97,97,368.65,465.65,"37,865,551","20,185,958","898,126","5,295,263","64,244,898","26,114,814","9,530,751","35,645,565","3,091,000","2,807,790","1,985,514","7,884,304","10,335,669","53,865,538.00",0,0,0,0,0,"1,899,797.00","2,246,053","109,257","222,112","306,673","463,597","28,757",115,47,162,"4,297","62,868","6,242,633","814,619","665,892","14,162,393","4,634,749","1,477,613","12,684,780","984,384","2,461,997","15,146,777","5,940","2,469","20,305","9,232","1,054","606,658","310,683","24,214",550,"1,969,016","1,061,794",2017,07/01/2015,06/30/2016,1,8,0,0,0,NO,7060 W WINDMILL LN,LAS VEGAS,89113,7027347323,CLARK,"2,155,664",LD,MA,Y,N,32,3,23770,29.78,1000,3203,29820,0,PointAddress,E,OTH,100,"(36.041188, -115.246112)"
KY,KY0031,FAYETTE,LEXINGTON PUBLIC LIBRARY,140 EAST MAIN STREET,LEXINGTON,40507,11,1,"314,488","312,370",1,5,0,45,45,141,186,"14,634,159","226,479","7,007","957,599","15,825,244","6,603,976","2,162,637","8,766,613","969,550","524,949","503,622","1,998,121","2,531,171","13,295,905.00",0,0,0,"3,280,525.00","3,280,525.00","4,646,283.00","439,946","21,160","44,983","5,444","50,447",0,9,50,59,763,"20,748","1,880,524","626,692","235,737","2,964,292","919,935","273,417","2,690,875","257,231","530,648","3,221,523","1,990","3,767","4,017","2,283",215,"88,811","52,421","2,281",272,"368,770","914,931",2017,07/01/2015,06/30/2016,1,5,0,0,0,NO,140 EAST MAIN STREET,LEXINGTON,40507,8592315500,FAYETTE,"318,449",CO,MO,Y,N,21,67,46027,1.01,2004,2106,30460,0,PointAddress,E,CO1,100,"(38.045369, -84.495992)"
NE,NE0126,NE0126,LINCOLN CITY LIBRARIES,136 SO. 14TH STREET,LINCOLN,68508,11,1,"306,468","306,468",1,7,1,22.25,32.5,95.25,127.75,"8,945,911","99,441",0,"775,237","9,820,589","4,796,168","1,849,454","6,645,622","785,183","376,962","305,716","1,467,861","1,885,976","9,999,459.00","188,100.00",0,0,0,"188,100.00","72,507.00","712,233","26,908","49,330","22,261","53,484","5,339",21,25,46,688,"24,440","1,225,432","278,548","240,589","3,094,290","1,501,649","250,352","2,843,938","244,379","494,731","3,338,669","1,536","2,286","2,945","2,310",306,"96,601","87,780","5,202",138,"214,210","149,500",2017,09/01/2015,08/31/2016,1,4,0,0,0,ME,136 SO. 14TH STREET,LINCOLN,68508,4024418500,LANCASTER,"309,637",CI,MO,Y,N,31,109,28000,19,1032,3101,30700,0,PointAddress,E,CI1,100,"(40.812811, -96.701075)"
CA,CA0061,M657,LONG BEACH PUBLIC LIBRARY,101 PACIFIC AVE.,LONG BEACH,90822,11,1,"484,958","484,958",1,11,0,40.74,40.74,80.6,121.34,"12,894,683",0,0,"973,321","13,868,004","5,710,497","2,880,769","8,591,266","1,270,637","318,840","80,264","1,669,741","5,084,735","15,345,742.00","52,663.00",0,0,0,"52,663.00",0,"708,556","10,464","28,195","3,758","27,215",0,24,0,24,761,"21,628","1,262,490","324,049","263,672","1,233,309","573,943","132,826","1,100,483",-1,"132,826","1,233,309",489,57,"3,373","2,368",40,"67,745","59,429","1,569",227,"218,717","71,951",2017,07/01/2015,06/30/2016,1,8,0,0,0,ME,101 PACIFIC AVE.,LONG BEACH,90822,5625706291,LOS ANGELES,"10,137,915",CI,MO,Y,N,6,37,43000,5760.01,2010,647,31080,0,StreetAddress,E,CI1,92.08,"(33.768164, -118.19377)"
