STATE,FSCS ID,LIBRARY ID,LIBRARY NAME,ADDRESS,CITY,ZIP,LOCALE,REAP LOCALE,SERVICE AREA POPULATION,UNDUPLICATED POPULATION,CENTRAL LIBRARIES,BRANCH LIBRARIES,BOOKMOBILES,MLS LIBRARIAN STAFF,LIBRARIAN STAFF,OTHER STAFF,TOTAL STAFF,LOCAL REVENUE,STATE REVENUE,FEDERAL REVENUE,OTHER REVENUE,TOTAL REVENUE,SALARIES,BENEFITS,TOTAL STAFF EXPENDITURES,PRINT EXPENDITURES,ELECTRONIC EXPENDITURES,OTHER COLLECTION EXPENDITURES,TOTAL COLLECTION EXPENDITURES,OTHER EXPENDITURES,TOTAL EXPENDITURES,LOCAL CAPITAL REVENUE,STATE CAPITAL REVENUE,FEDERAL CAPITAL REVENUE,OTHER CAPITAL REVENUE,TOTAL CAPITAL REVENUE,CAPITAL EXPENDITURES,PRINT MATERIALS,EBOOKS,AUDIO MATERIALS,AUDIO DOWNLOADS,VIDEO MATERIALS,VIDEO DOWNLOADS,LOCAL DATABASES,STATE DATABASES,TOTAL DATABASES,PRINT SERIALS,HOURS,VISITS,REFERENCES,USERS,TOTAL CIRCULATION,KIDS CIRCULATION,ELECTRONIC CIRCULATION,PHYSICAL ITEM CIRCULATION,ELECTRONIC INFO RETRIEVALS,ELECTRONIC CONTENT USES,TOTAL CIRCULATION & RETRIEVALS,LOANS TO,LOANS FROM,TOTAL PROGRAMS,KIDS PROGRAMS,YA PROGRAMS,PROGRAM AUDIENCE,KIDS PROGRAM AUDIENCE,YA PROGRAM AUDIENCE,COMPUTERS,COMPUTER USES,WIFI SESSIONS,YEAR,START DATE,END DATE,REPORTING STATUS,BEA REGION,STRUCTURE CHANGE,NAME CHANGE,ADDRESS CHANGE,INTERLIBRARY RELATIONSHIP,MAILING ADDRESS,MAILING CITY,MAILING ZIP,PHONE,COUNTY,COUNTY POPULATION,LEGAL BASIS,ADMINISTRATIVE STRUCTURE,FSCS DEFINITION,LSABOUND,INCITS STATE CODE,INCITS COUNTY CODE,GNIS ID,CENSUS TRACT,CENSUS BLOCK,CONGRESSIONAL DISTRICT,CBSA,METRO/MICRO AREA,ADDRESS MATCH TYPE,ESRI MATCH STATUS,GEOGRAPHIC CODE,GEOCODE SCORE,LONGITUDE
CA,CA0063,M659,LOS ANGELES PUBLIC LIBRARY,630 W. FIFTH ST.,LOS ANGELES,90071,11,1,"4,030,904","4,030,904",1,72,0,360,360,584,944,"153,353,374","196,222","4,990","456,484","154,011,070","63,969,255","25,846,367","89,815,622","4,789,250","5,779,548","1,305,751","11,874,549","50,710,024","152,400,195.00",0,0,0,0,0,0,"5,922,133","171,493","251,557","33,584","390,378","6,139",167,0,167,"6,651","192,842","13,504,301","3,289,031","1,411,764","16,353,158","4,433,335","4,824,917","11,528,241",0,"4,824,917","16,353,158","1,817",150,"22,014","7,111","3,543","410,396","230,075","49,124","1,494","6,850,133","1,438,931",2017,07/01/2015,06/30/2016,1,8,0,0,0,ME,630 W. FIFTH ST.,LOS ANGELES,90071,2132287515,LOS ANGELES,"10,137,915",CI,MO,Y,N,6,37,44000,2077.1,1020,634,31080,0,PointAddress,E,CI1,100,"(34.050736, -118.254807)"
KY,KY0053,JEFFERSON,LOUISVILLE FREE PUBLIC LIBRARY,301 YORK STREET,LOUISVILLE,40203,21,3,"763,623","758,481",1,17,1,67,68,193,261,"17,260,520","311,797",0,"379,154","17,951,471","9,474,172","3,324,957","12,799,129","1,543,258","573,817","268,104","2,385,179","3,109,634","18,293,942.00","13,660,525.00",0,"375,306.00","761,591.00","14,797,422.00","4,307,353.00","1,267,153","25,980","69,749","8,850","36,192",350,38,50,88,"2,455","55,626","3,054,629","1,115,610","363,084","3,686,046","1,501,890","304,508","3,381,538","1,759,868","2,064,376","5,445,914","2,303","1,108","11,779","2,285",677,"320,548","57,993","6,538",727,"756,924","210,906",2017,07/01/2015,06/30/2016,1,5,0,0,0,NO,301 YORK STREET,LOUISVILLE,40203,5025741760,JEFFERSON,"765,352",CO,MO,Y,N,21,111,48000,50,1006,2103,31140,0,StreetAddress,E,CO1,100,"(38.244047, -85.757165)"
TX,TX0155,240,LUBBOCK PUBLIC LIBRARY,1306 9TH ST,LUBBOCK,79401,12,2,"277,999","277,361",1,3,0,14.5,14.5,35,49.5,"3,536,426",0,0,"146,403","3,682,829","1,572,897","717,665","2,290,562","322,062","76,211","92,432","490,705","901,562","3,682,829.00","169,356.00",0,0,0,"169,356.00","169,356.00","313,696","9,384","13,916","4,090","30,389",156,10,61,71,265,"11,501","492,704","355,619","160,885","943,625","321,754","139,238","804,387",-1,"139,238","943,625","1,098","2,356","1,294",944,65,"30,902","27,016",585,34,"72,295",0,2017,10/01/2015,09/30/2016,1,6,0,0,0,ME,1306 9TH ST,LUBBOCK,79401,8067752824,LUBBOCK,"303,137",CI,MO,Y,N,48,303,45000,7,1124,4819,31180,0,PointAddress,E,CO2,100,"(33.587438, -101.849201)"
WI,WI0176,WI0176,MADISON PUBLIC LIBRARY,201 W. MIFFLIN ST.,MADISON,53703,12,2,"266,807","266,807",1,8,0,46.4,46.4,134.1,180.5,"16,353,136","270,684","9,867","1,480,969","18,114,656","8,719,730","2,754,491","11,474,221","471,492","177,356","357,135","1,005,983","5,634,452","18,114,656.00","819,494.00",0,0,0,"819,494.00","831,437.00","604,309","149,771","71,212","38,430","88,297",944,-1,46,46,"1,329","28,912","2,167,674","196,976","170,420","3,751,298","1,179,285","282,027","3,469,271","39,452","321,479","3,790,750","599,322","845,482","5,262","2,355",261,"110,744","70,042","3,993",280,"769,704",-1,2017,01/01/2016,12/31/2016,1,3,0,0,0,ME,201 W. MIFFLIN ST.,MADISON,53703,6082666363,DANE,"531,273",CI,MO,Y,N,55,25,48000,17.04,1006,5502,31540,0,PointAddress,E,CI2,100,"(43.073745, -89.387745)"
AZ,AZ0034,AE-MESA,MESA PUBLIC LIBRARY,64 EAST 1ST STREET,MESA,85201,11,1,"467,532","296,349",1,3,0,22,24,52.2,76.2,"6,150,308","22,569","16,000","431,477","6,620,354","3,073,013","1,784,654","4,857,667","310,524","227,516","212,629","750,669","1,012,018","6,620,354.00",0,0,0,0,0,0,"371,949","169,566","18,946","53,890","30,921","1,461",16,33,49,247,"12,088","1,157,394","165,190","122,810","3,465,435","1,205,832","502,614","2,962,821","1,386,772","1,889,386","4,852,207","2,410","5,134","1,950","1,031",111,"50,382","39,384","1,350",145,"247,398",-1,2017,07/01/2015,06/30/2016,1,6,0,14,15,NO,P.O. BOX 1466,MESA,85211,4806443100,MARICOPA,"4,242,997",CI,MO,Y,N,4,13,46000,4214,1018,409,38060,0,PointAddress,E,CI1,100,"(33.417266, -111.829393)"
WI,WI0199,WI0199,MILWAUKEE PUBLIC LIBRARY,814 W. WISCONSIN AVE.,MILWAUKEE,53233,11,1,"595,599","595,599",1,12,1,75.75,75.75,231.5,307.25,"22,801,789","1,752,888","103,360","2,051,370","26,709,407","12,785,924","5,715,977","18,501,901","1,238,380","352,648","370,651","1,961,679","4,368,162","24,831,742.00","1,279,289.00",0,0,0,"1,279,289.00","1,279,289.00","1,903,087","150,606","108,900","38,543","93,678",944,-1,46,46,"1,445","30,866","1,981,987","484,265","360,990","2,611,875","898,960","199,094","2,412,781","63,939","263,033","2,675,814","278,367","176,163","6,200","3,694",128,"131,832","103,948","2,974",682,"476,199","271,560",2017,01/01/2016,12/31/2016,1,3,0,0,0,ME,814 W. WISCONSIN AVE.,MILWAUKEE,53233,4142863000,MILWAUKEE,"951,448",CI,MO,Y,N,55,79,53000,1864,1000,5504,33340,0,PointAddress,E,CI2,100,"(43.038857, -87.922372)"
TN,TN0135,NA001,NASHVILLE PUBLIC LIBRARY,615 CHURCH STREET,NASHVILLE,37219,11,1,"678,889","678,889",1,21,0,83,83,276.34,359.34,"30,928,349","133,500","11,577","1,270,831","32,344,257","12,971,440","5,277,474","18,248,914","3,220,365","1,596,904","533,483","5,350,752","8,301,699","31,901,365.00","6,493,771.00",0,0,0,"6,493,771.00","6,493,771.00","1,731,493","231,264","163,087","348,995","200,948","29,291",30,77,107,"1,321","50,648","3,340,704","282,329","363,878","4,704,904","1,515,970","912,236","3,792,668","666,292","1,578,528","5,371,196","6,387","8,153","11,783","5,259","3,498","359,827","234,069","42,720",968,"674,685","649,562",2017,07/01/2015,06/30/2016,2,5,0,0,0,NO,615 CHURCH STREET,NASHVILLE,37219,6158625760,DAVIDSON,"684,410",CC,MA,Y,N,47,37,52006,195,3036,4705,34980,0,PointAddress,E,CO1,100,"(36.162505, -86.781641)"
LA,LA0058,FSCS4036,NEW ORLEANS PUBLIC,219 LOYOLA AVENUE,NEW ORLEANS,70112,11,1,"391,495","389,663",1,13,0,46.38,126.88,56,182.88,"18,178,476","552,871","218,513","417,934","19,367,794","7,356,036","3,884,709","11,240,745","1,113,304","633,172","376,154","2,122,630","2,386,898","15,750,273.00",0,0,0,0,0,"1,205,723.00","561,634","18,529","31,899","4,174","52,359",292,13,51,64,671,"36,754","1,653,858","899,562","137,070","1,311,446","241,193","163,175","1,148,271","1,108,816","1,271,991","2,420,262","5,065","2,149","3,398","1,500",575,"51,316","29,169","4,421",308,"393,042","180,975",2017,01/01/2016,12/31/2016,1,5,0,0,0,NO,219 LOYOLA AVENUE,NEW ORLEANS,70112,5045962600,ORLEANS,"391,495",CC,MO,Y,N,22,71,55000,134,3052,2202,35380,0,StreetAddress,E,CO1,100,"(29.954463, -90.075085)"
NY,NY0778,4801290000,"NEW YORK PUBLIC LIBRARY, THE BRANCH LIBRARIES",445 FIFTH AVENUE,NEW YORK,10016,11,1,"3,439,711","3,413,083",1,92,0,499.34,499.34,"1,709.23","2,208.57","170,260,107","21,493,017","1,717,190","118,608,212","312,078,526","137,318,924","64,022,582","201,341,506","18,676,492","8,267,475","3,697,891","30,641,858","58,238,906","290,222,270.00","1,832,986.00","1,912,326.00",0,"110,262,081.00","114,007,393.00","117,797,300.00","21,935,221","1,788,493","826,360","143,245","721,149","158,131",459,10,469,"74,531","236,071","17,420,607","9,141,206","2,128,170","22,665,133","6,298,786","3,877,928","18,787,205","11,606,768","15,484,696","34,271,901","10,139","13,139","104,226","43,237","15,311","2,023,590","1,093,716","215,427","4,636","2,394,212","3,431,226",2017,01/01/2016,12/31/2016,1,2,0,0,0,HQ,445 FIFTH AVENUE,NEW YORK,10016,9172299503,NEW YORK,"1,643,734",NP,MO,Y,N,36,61,51000,82,1003,3612,35620,0,PointAddress,E,MC1,100,"(40.751652, -73.982196)"
NJ,NJ0122,NEWARK,NEWARK PUBLIC LIBRARY,5 WASHINGTON STREET,NEWARK,7102,11,1,"277,140","256,712",1,8,0,24.5,24.5,54.25,78.75,"10,282,519","144,692",0,"1,009,128","11,436,339","5,143,048","2,274,097","7,417,145","247,569","99,266","25,289","372,124","3,123,456","10,912,725.00",0,0,0,0,0,0,"1,370,102","11,960","12,195","8,775","7,204",0,38,22,60,0,"17,680","400,841","165,859","46,937","146,228","81,210","6,118","140,110","6,475","12,593","152,703","1,742",521,"1,765","1,071",149,"26,636","14,565","2,741",250,"161,919",-1,2017,01/01/2016,12/31/2016,1,2,0,0,0,ME,P.O. BOX 630,NEWARK,7101,9737337780,ESSEX,"796,914",CI,MO,Y,N,34,13,51000,229,3011,3410,35620,0,StreetAddress,E,CI1,100,"(40.744431, -74.17002)"
VA,VA0054,VA0054,NORFOLK PUBLIC LIBRARY,1155 PINERIDGE ROAD,NORFOLK,23502,12,2,"246,392","246,392",1,11,1,30,30,128,158,"11,138,692","180,138","179,734","43,232","11,541,796","6,375,222","1,738,111","8,113,333","792,817","348,063","278,735","1,419,615","1,367,895","10,900,843.00",0,0,0,0,0,0,"591,575","13,483","11,129","1,226","46,376",500,25,35,60,664,"34,632","1,264,157","67,800","113,594","820,495","283,681","63,623","756,872","71,755","135,378","892,250","2,106","2,462","3,883","2,261",689,"62,377","38,590","6,588",584,"505,472","105,850",2017,07/01/2015,06/30/2016,1,5,0,0,0,NO,1155 PINERIDGE ROAD,NORFOLK,23502,7576647328,NORFOLK,"245,115",CI,MA,Y,N,51,710,57000,9802,1021,5103,47260,0,PointAddress,E,CI1,100,"(36.861225, -76.228816)"
CA,CA0081,M677,OAKLAND PUBLIC LIBRARY,125 14TH ST.,OAKLAND,94612,11,1,"445,796","445,796",1,17,0,80.48,80.48,130.06,210.54,"27,340,005","79,045",233,"294,992","27,714,275","13,092,401","7,080,628","20,173,029","1,049,455","371,713","290,063","1,711,231","5,732,464","27,616,724.00","138,929.00",0,0,0,"138,929.00","68,090.00","926,984","92,581","46,839","10,761","90,526","1,120",42,0,42,"2,262","31,666","2,024,399","298,150","284,273","2,418,597","1,055,013","165,799","2,252,798","547,719","713,518","2,966,316","8,858","15,217","6,961","4,512","1,476","205,394","159,662","26,835",263,"265,351",-1,2017,07/01/2015,06/30/2016,1,8,0,0,0,ME,125 14TH ST.,OAKLAND,94612,5102383281,ALAMEDA,"1,647,704",CI,MO,Y,N,6,1,53000,4034,2007,613,41860,0,PointAddress,E,CI2,100,"(37.801264, -122.263491)"
OK,OK0074,3,METROPOLITAN LIBRARY SYSTEM,300 PARK AVENUE,OKLAHOMA CITY,73102,11,1,"776,864","774,781",1,18,0,96,199.16,183.06,382.22,"34,197,886","281,827",0,"1,408,905","35,888,618","16,847,435","6,368,123","23,215,558","2,637,903","1,280,849","1,138,900","5,057,652","7,743,193","36,016,403.00",0,0,0,0,0,"1,879,650.00","1,394,253","301,930","153,673","21,616","162,733",0,98,31,129,"50,916","60,918","2,845,273","318,240","358,748","5,871,623","820,519","1,202,439","4,669,184",0,"1,202,439","5,871,623","8,811","9,095","4,298","2,823",470,"92,017","74,581","5,093",330,"823,583","1,764,399",2017,07/01/2015,06/30/2016,1,6,0,0,0,HQ,300 PARK AVENUE,OKLAHOMA CITY,73102,4056063725,OKLAHOMA,"782,970",CO,MO,Y,N,40,109,55000,1036.01,1015,4005,36420,0,PointAddress,E,CO1,100,"(35.468824, -97.518682)"
NE,NE0162,NE0162,OMAHA PUBLIC LIBRARY,215 S 15TH STREET,OMAHA,68102,11,1,"507,527","507,527",1,11,0,39,43,135.89,178.89,"14,082,664","161,722",0,"707,257","14,951,643","7,238,076","3,058,414","10,296,490","793,967","610,931","152,419","1,557,317","2,200,057","14,053,864.00",0,0,0,0,0,0,"546,054","24,716","36,025","7,016","34,300",54,22,25,47,"1,378","35,932","2,016,595","31,172","268,282","2,925,659","1,411,720","270,398","2,655,261","324,254","594,652","3,249,913","2,926","1,330","5,161","2,631",833,"118,212","92,505","9,654",453,"568,614","214,924",2017,01/01/2016,12/31/2016,1,4,0,0,0,ME,215 S 15TH STREET,OMAHA,68102,4024444800,DOUGLAS,"554,995",CI,MO,Y,N,31,55,37000,18,3004,3102,36540,0,PointAddress,E,CI1,100,"(41.25812, -95.935784)"
FL,FL0005,FSCS5060,ORANGE COUNTY LIBRARY DISTRICT,101 EAST CENTRAL BLVD.,ORLANDO,32801,11,2,"1,206,422","1,200,430",1,15,0,41,71,263,334,"34,094,881","953,268","71,610","1,898,121","37,017,880","15,097,717","5,522,285","20,620,002","1,682,889","2,237,176","816,722","4,736,787","12,492,913","37,849,702.00","19,307.00",0,0,0,"19,307.00","590,967.00","1,227,448","353,981","67,539","76,709","313,857","14,253",34,68,102,"1,085","48,932","3,942,543","1,403,352","427,049","12,096,214","3,024,053","3,858,430","9,053,828",-1,-1,"12,912,258","8,620","9,425","30,313","7,587",883,"443,171","221,961","12,889",480,"785,092","313,741",2017,10/01/2015,09/30/2016,2,5,0,0,0,NO,101 EAST CENTRAL BLVD.,ORLANDO,32801,4078357323,ORANGE,"1,314,367",LD,MO,Y,N,12,95,53000,189,5039,1210,36740,0,PointAddress,E,CO2,100,"(28.542178, -81.376621)"
PA,PA0385,926510006,FREE LIBRARY OF PHILADELPHIA,1901 VINE ST,PHILADELPHIA,19103,11,1,"1,526,006","1,526,006",1,51,0,210,210,451,661,"3,322,900","7,802,758","275,652","3,947,900","15,349,210","37,462,602","33,379,373","70,841,975","3,151,649","1,353,757","631,579","5,136,985","16,026,527","92,005,487.00",0,0,0,0,0,"3,322,900.00","2,448,761","257,754","33,515","14,273","199,489",193,124,22,146,"2,047","120,319","5,926,481","2,918,832","657,028","6,859,439","945,037","1,094,734","5,764,705","144,977","1,239,711","7,004,416","5,646","7,524","29,681","15,393","1,165","685,639","427,207","46,580",941,"1,087,094","377,272",2017,01/01/2016,12/31/2016,1,2,0,0,0,NO,1901 VINE ST,PHILADELPHIA,19103,2156865300,PHILADELPHIA,"1,567,872",NP,MO,Y,N,42,101,60000,125,1024,4202,37980,0,PointAddress,E,CO1,100,"(39.959128, -75.170328)"
AZ,AZ0028,AE-MARICOPA,MARICOPA COUNTY LIBRARY DISTRICT OFFICE,2700 NORTH CENTRAL AVENUE SUITE 700,PHOENIX,85004,11,1,"4,137,076","2,622,322",1,17,0,65,65,160.96,225.96,"24,050,432","25,000",0,"1,563,108","25,638,540","7,880,055","2,960,164","10,840,219","3,177,066","2,290,835","1,293,692","6,761,593","9,610,004","27,211,816.00",0,0,0,0,0,"112,729.00","497,606","167,063","49,649","369,202","132,099","25,007",8,33,41,951,"45,812","2,917,522","1,914,133","67,257","7,938,378","2,564,571","926,715","7,011,663","372,254","1,298,969","8,310,632","67,141",65,"6,745","4,100",0,"153,536","109,551",0,402,"407,965",-1,2017,07/01/2015,06/30/2016,2,6,0,14,15,NO,2700 NORTH CENTRAL AVENUE SUITE 700,PHOENIX,85004,6026523030,MARICOPA,"4,242,997",LD,MA,Y,N,4,13,55000,1118,3008,407,38060,0,PointAddress,E,CO2,100,"(33.477948, -112.073923)"
AZ,AZ0035,AE-PHOENIX,PHOENIX PUBLIC LIBRARY,1221 NORTH CENTRAL AVENUE,PHOENIX,85004,11,1,"1,560,020","988,832",1,16,0,67.5,71.2,306.2,377.4,"32,899,848","465,482","186,963","709,893","34,262,186","14,848,986","6,512,855","21,361,841","2,809,760","1,088,782","1,955,124","5,853,666","7,046,679","34,262,186.00","685,978.00",0,0,0,"685,978.00","685,978.00","1,148,159","157,682","167,209","58,539","219,338","1,540",16,33,49,"2,150","40,813","4,208,095",0,"875,062","10,705,901","3,590,560","1,548,667","9,157,234","4,278,610","5,827,277","14,984,511","9,125","4,513","12,512","9,311",656,"322,016","277,110","11,577",766,"1,042,673","353,659",2017,07/01/2015,06/30/2016,1,6,0,14,15,ME,1221 NORTH CENTRAL AVENUE,PHOENIX,85004,6022626157,MARICOPA,"4,242,997",CI,MO,Y,N,4,13,55000,1130,2008,407,38060,0,PointAddress,E,CI1,100,"(33.463234, -112.073707)"
TX,TX0228,311,PLANO PUBLIC LIBRARY SYSTEM,2501 COIT RD,PLANO,75075,11,1,"283,558","282,908",1,4,0,43.5,43.5,104.75,148.25,"10,827,116",0,0,"87,739","10,914,855","6,755,522","2,723,917","9,479,439","782,014","269,624","274,408","1,326,046","10,623","10,816,108.00",0,0,0,0,0,0,"663,088","22,648","45,143","7,484","54,485",0,18,61,79,673,"17,199","1,649,899","114,896","181,131","4,754,343","2,592,978","297,125","4,457,218",-1,"297,125","4,754,343","6,406","1,527","3,446","2,613",110,"137,399","129,064",921,196,"232,077","41,901",2017,10/01/2015,09/30/2016,1,6,0,0,0,ME,2501 COIT RD,PLANO,75075,9727694208,COLLIN,"939,585",CI,MO,Y,N,48,85,58016,316.55,4012,4803,19100,0,PointAddress,E,CO2,100,"(33.032041, -96.770174)"
OR,OR0063,OR0063,MULTNOMAH COUNTY LIBRARY,919 NE 19TH AVE.,PORTLAND,97232,11,1,"777,490","755,271",1,18,0,82.5,82.5,452.7,535.2,"72,276,767","101,269","49,932","3,187,247","75,615,215","27,180,763","17,668,860","44,849,623","2,828,578","3,405,614","1,046,409","7,280,601","18,446,865","70,577,089.00",0,0,0,"461,411.00","461,411.00","461,411.00","1,554,916","477,798","78,975","339,581","156,085","12,307",120,24,144,615,"52,638","4,574,393","358,819","436,476","19,200,616",0,"1,685,465","17,515,151","37,385","1,722,850","19,238,001","8,054","20,832","22,942","13,822","3,725","336,284","267,733","14,988",694,"903,162","1,340,627",2017,07/01/2015,06/30/2016,1,8,0,0,0,ME,919 NE 19TH AVE.,PORTLAND,97232,5039885402,MULTNOMAH,"799,766",CO,MA,Y,N,41,51,59000,21,1003,4103,38900,0,PointAddress,E,CO1,100,"(45.529459, -122.64651)"
OR,OR0128,OR0128,CEDAR MILL COMMUNITY LIBRARY,12505 NW CORNELL RD,PORTLAND,97229,21,3,"80,892","78,580",1,1,0,17.43,18.43,38.27,56.7,"3,758,871",0,0,"745,465","4,504,336","2,624,135","617,869","3,242,004","258,348","35,972","132,039","426,359","718,280","4,386,643.00",0,0,0,"32,021.00","32,021.00","32,021.00","202,468","65,672","19,530","25,056","25,854",0,16,24,40,407,"6,298","735,321","40,584","30,126","2,498,120","1,296,086","87,975","2,410,145","83,717","171,692","2,581,837","388,263","502,683","2,097","1,642",110,"76,135","69,045","3,621",30,"39,215","157,260",2017,07/01/2015,06/30/2016,1,8,0,0,0,ME,12505 NW CORNELL RD,PORTLAND,97229,5036440043,WASHINGTON,"582,779",NP,MO,Y,N,41,67,12150,315.08,3004,4101,38900,0,StreetAddress,E,CI1,100,"(45.525838, -122.804955)"
OR,OR0139,OR0139,GARDEN HOME COMMUNITY LIBRARY,7475 SW OLESON RD,PORTLAND,97223,13,2,"5,466","5,310",1,0,0,2,2,4.1,6.1,"427,897","1,039",0,"41,256","470,192","231,186","48,358","279,544","22,638",944,"9,073","32,655","103,696","415,895.00",0,0,0,0,0,"52,642.00","12,847","65,672","1,427","25,056","1,991",0,16,24,40,54,"3,232","93,131","4,950","3,670","177,861","73,331","9,678","168,183","9,210","18,888","187,071","37,279","80,245",201,152,3,"3,649","2,811",44,7,"8,992","12,058",2017,07/01/2015,06/30/2016,1,8,0,0,0,ME,7475 SW OLESON RD,PORTLAND,97223,5032459932,WASHINGTON,"582,779",NP,SO,Y,N,41,67,5350,305.01,2000,4101,38900,0,PointAddress,E,MA2,100,"(45.466264, -122.75299)"
NC,NC0063,C-WAKE,WAKE COUNTY PUBLIC LIBRARIES,4020 CARYA DR,RALEIGH,27610,11,1,"1,007,631","1,006,284",0,21,0,124,125,114,239,"19,843,646","580,320",0,0,"20,423,966","10,563,985","3,383,977","13,947,962","2,123,896","200,000",0,"2,323,896","3,771,788","20,043,646.00","8,987,000.00",0,0,0,"8,987,000.00","8,987,000.00","1,322,222","60,798","29,856","14,082",0,0,7,74,81,"1,207","60,480","3,385,289","417,465","409,167","10,335,691","6,243,695","846,870","9,488,821","551,642","1,398,512","10,887,333","1,191","20,887","9,236","7,775",533,"337,083","303,976","14,478",473,"628,335",-1,2017,07/01/2015,06/30/2016,1,5,0,0,0,NO,4020 CARYA DR,RALEIGH,27610,9192504532,WAKE,"1,046,791",CO,MA,Y,N,37,183,55000,541.06,2002,3704,39580,0,StreetAddress,E,CO1,100,"(35.768283, -78.568718)"
NV,NV0025,NV0025,WASHOE COUNTY LIBRARY SYSTEM,301 S. CENTER ST.,RENO,89505,12,2,"441,946","441,946",1,11,0,12,38,80,118,"9,579,669","8,027","43,600","245,538","9,876,834","6,001,070","2,569,376","8,570,446","395,888","374,782","142,909","913,579","973,884","10,457,909.00",0,0,0,0,0,0,"513,396","49,195","28,423","4,401","48,384",0,12,47,59,939,"21,159","1,071,315","294,021","268,518","2,163,881","529,214","281,346","1,882,535",0,"281,346","2,163,881",690,"1,816","3,376","2,414",11,"87,455","72,443",393,233,"267,931",0,2017,07/01/2015,06/30/2016,1,8,0,0,0,NO,PO BOX 2151,RENO,89505,7753278341,WASHOE,"453,616",CO,MO,Y,N,32,31,60600,1.02,3036,3202,39900,0,StreetAddress,E,CO1,92.08,"(39.52279, -119.810183)"
CA,CA0103,M699,RIVERSIDE PUBLIC LIBRARY,3581 MISSION INN AVE.,RIVERSIDE,92501,11,1,"324,696","324,696",1,7,0,7,8,58.15,66.15,"5,694,546","24,074",0,"387,163","6,105,783","3,066,351","1,352,460","4,418,811","144,281","87,833","15,310","247,424","1,556,985","6,223,220.00",0,0,0,0,0,0,"382,306","56,858","8,896",220,"36,109",0,17,0,17,128,"20,202","893,023","232,619","277,808","970,870","549,806","12,776","958,094",-1,"12,776","970,870",0,87,"1,553",890,270,"55,517","52,160","2,470",308,"273,694",-1,2017,07/01/2015,06/30/2016,1,8,0,0,0,ME,PO BOX 468,RIVERSIDE,92502,9518265213,RIVERSIDE,"2,387,741",CI,MO,Y,N,6,65,62000,303,1020,641,40140,0,StreetAddress,E,CI1,100,"(33.982279, -117.372315)"
CA,CA0105,M701,SACRAMENTO PUBLIC LIBRARY,828 I ST.,SACRAMENTO,95814,11,1,"1,418,051","1,418,051",1,27,2,77.5,88.5,197.5,286,"35,795,649","76,304","626,496","3,656,164","40,154,613","18,510,314","4,537,332","23,047,646","2,244,464","1,936,340","399,285","4,580,089","8,929,290","36,557,025.00",0,0,0,0,0,"1,038,121.00","976,513","86,415","43,536","16,807","81,403","1,947",41,0,41,"1,830","52,018","4,252,802","165,600","651,636","7,480,731","2,903,894","778,071","6,702,660","415,097","1,193,168","7,895,828","147,616","108,088","7,958","4,639",898,"207,322","162,290","13,427",755,"611,940","465,960",2017,07/01/2015,06/30/2016,1,8,0,0,0,ME,828 I ST.,SACRAMENTO,95814,9162642770,SACRAMENTO,"1,514,460",MJ,MO,Y,N,6,67,64000,11.01,1012,606,40900,0,PointAddress,E,CO2,100,"(38.581894, -121.494958)"
